suburb_name,postcode,state_code,location_code,country_code
Bateau Bay,2261,NSW,CCO,AU
Bathurst Mc,2796,NSW,CWT,AU
Batman,3058,VIC,MEL,AU
Battery Hill,4551,QLD,SSC,AU
Bauple Forest,4650,QLD,BNE,AU
Baxter,3911,VIC,MEL,AU
Beach Holm,4818,QLD,TSV,AU
Beadell,6440,WA,MEL,AU
Bean Creek,2469,NSW,BNOR,AU
Bedford,6052,WA,MEL,AU
Beechboro,6063,WA,MEL,AU
Beecroft Peninsula,2540,NSW,BBAY,AU
Beenong,6353,WA,MEL,AU
Bega,2550,NSW,BEG,AU
Belbora,2422,NSW,SYD,AU
Bell Bay,7253,TAS,TAS,AU
Bella Vista,2153,NSW,SYD,AU
Bellbird Park,4300,QLD,BNE,AU
Bellevue,6056,WA,MEL,AU
Bellthorpe,4514,QLD,SSC,AU
Beloka,2628,NSW,BBAY,AU
Belrose,2085,NSW,SYD,AU
Bendalong,2539,NSW,BBAY,AU
Benjaberring,6463,WA,MEL,AU
Berowra Waters,2082,NSW,SYD,AU
Bertram,6167,WA,MEL,AU
BESWICK,852,VIC,MEL,AU
Beswick Creek,0852,NT,,AU
Bethania,4205,QLD,GOL,AU
Beulah,7306,TAS,TAS,AU
Bevendale,2581,NSW,ACT,AU
Beverford,3590,VIC,MEL,AU
Bibaringa,5118,SA,ADE,AU
Bickley Vale,2570,NSW,SYD,AU
Bidwill,2770,NSW,SYD,AU
Big Jacks Creek,2339,NSW,SYD,AU
Biggera Waters,4216,QLD,GOL,AU
Bilambil,2486,NSW,BNOR,AU
Billimari,2804,NSW,CWT,AU
Billyrimba,2372,NSW,,AU
Bimberi,2611,NSW,ACT,AU
Bindi,3896,VIC,MEL,AU
Binnu,6532,WA,MEL,AU
Birganbigil,2710,NSW,SHEP,AU
Birtinya,4575,QLD,SSC,AU
BLACK JUNGLE,822,VIC,MEL,AU
Black Mountain,2365,NSW,SYD,AU
Blackbutt,4306,QLD,BNE,AU
Blackdown,4702,QLD,BNE,AU
Blackfellows Caves,5291,SA,MEL,AU
Blackfellows Creek,5201,SA,ADE,AU
BLACKMORE,822,VIC,MEL,AU
Blacktown,2148,NSW,SYD,AU
Blackwall,2256,NSW,CCO,AU
Blackwater,4717,QLD,BNE,AU
Blairgowrie,3942,VIC,MEL,AU
Blakebrook,2480,NSW,BNOR,AU
Blanchview,4352,QLD,BNE,AU
Blaxcell,2142,NSW,SYD,AU
Blinman,5730,SA,MEL,AU
Blue Mountain,4737,QLD,BNE,AU
Bluewater,4818,QLD,TSV,AU
Bluewater Park,4818,QLD,TSV,AU
Bluff Beach,5575,SA,MEL,AU
Bo Peep,3351,VIC,BLR,AU
Bobs Farm,2316,NSW,NEWC,AU
Boco,2631,NSW,BEG,AU
Bocobra,2865,NSW,CWT,AU
Bodallin,6424,WA,MEL,AU
Boho,3669,VIC,SHEP,AU
Boinka,3490,VIC,MEL,AU
Bolgart,6568,WA,MEL,AU
Bolwarra,4871,QLD,BNE,AU
Bolwarrah,3352,VIC,BLR,AU
Bomaderry,2541,NSW,BBAY,AU
Bond University,4229,QLD,GOL,AU
Bongeen,4356,QLD,BNE,AU
BONN,3561,VIC,SHEP,AU
Bonniefield,6525,WA,MEL,AU
Bonnyrigg,2177,NSW,SYD,AU
Bonnyrigg Heights,2177,NSW,SYD,AU
Booborowie,5417,SA,MEL,AU
Book Book,2650,NSW,WAGG,AU
Boolarra South,3870,VIC,GPS,AU
BOOLITE,3392,VIC,HOR,AU
Boomahnoomoonah,3728,VIC,SHEP,AU
Boomer Bay,7177,TAS,TAS,AU
Boona Mount,2877,NSW,SYD,AU
Boonerdo,5633,SA,MEL,AU
Booral,4655,QLD,BNE,AU
Boorolong,2350,NSW,SYD,AU
Boorooma,2650,NSW,WAGG,AU
Booval Bc,4304,QLD,BNE,AU
Booval Dc,4304,QLD,BNE,AU
Booval Fair,4304,QLD,BNE,AU
Booyal,4671,QLD,BNE,AU
Borah Creek,2346,NSW,SYD,AU
Boralma,3682,VIC,ALB,AU
BORAMBIL,2343,NSW,SYD,AU
Borderdale,6320,WA,MEL,AU
Boronia,3155,VIC,MEL,AU
Boronia Park,2111,NSW,SYD,AU
Bostocks Creek,3260,VIC,WARR,AU
Botany,1455,NSW,SYD,AU
Botfields,2876,NSW,CWT,AU
Bouldercombe,4702,QLD,BNE,AU
Boulia,4829,QLD,BNE,AU
Bowelling,6225,WA,MEL,AU
Bowen,4805,QLD,TSV,AU
Bowenvale,3465,VIC,BLR,AU
Bowes,6535,WA,MEL,AU
Bowman,2422,NSW,SYD,AU
Bowmans Creek,2330,NSW,SYD,AU
Bowraville,2449,NSW,COFF,AU
Box Hill South,3128,VIC,MEL,AU
Boyatup,6450,WA,MEL,AU
Bracalba,4512,QLD,SSC,AU
Bradys Lake,7140,TAS,TAS,AU
BRAEMAR BAY,2628,NSW,BBAY,AU
Braitling,0870,NT,,AU
Brandon Park,3150,VIC,MEL,AU
Breakfast Point,2137,NSW,SYD,AU
Bremer,4305,QLD,BNE,AU
Brightly,4741,QLD,BNE,AU
Brighton,4017,QLD,BNE,AU
Brim,3391,VIC,HOR,AU
Brimin,3685,VIC,ALB,AU
BRINKIN,810,VIC,MEL,AU
Brisbane,4001,QLD,BNE,AU
Brisbane,9005,QLD,MEL,AU
Broadwater,3301,VIC,WARR,AU
Broadwater,6280,WA,MEL,AU
Brodies Plains,2360,NSW,SYD,AU
Broken Creek,3673,VIC,SHEP,AU
Broken Hill,2880,NSW,ADE,AU
Brookfield,4069,QLD,BNE,AU
Brookhampton,6239,WA,MEL,AU
