permission,description,accounts,administrator,agency,branch_franchise_manager,business_development,cco,cso_am,executive,crew,after_hours_crew,team_leader,warehouse,operations,scheduler
operations.vehicles.manage,"Can edit, update and delete vehicles",,yes,,yes,,yes,yes,yes,,,,yes,yes,yes
operations.vehicles.change_status,Can change status of a vehicle,,yes,,yes,,yes,yes,yes,,,,yes,yes,yes
operations.tasks.view,Can view and browse job tasks,yes,yes,,yes,yes,yes,yes,yes,,,,yes,yes,yes
operations.runs.view,Can view and browse job runs,yes,yes,,yes,,yes,yes,yes,,,,yes,yes,yes
operations.runs.manage,"Can edit, update and delete job runs",,yes,,yes,,,yes,yes,,,,,yes,yes
operations.runs_templates.view,Can view and browse run templates,,yes,,,,,,yes,,,,,,yes
operations.runs_templates.manage,"Can edit, update and delete run templates",,yes,,,,,,yes,,,,,,yes
finance.purchase_orders.view,Allows to view purchase order,yes,yes,,yes,yes,yes,yes,yes,,,,yes,yes,yes
finance.purchase_orders.manage,Allows to manage purchase order,yes,yes,,yes,yes,yes,yes,yes,,,,,,
finance.purchase_orders.manage_locked,Allows to manage locked (not approved) purchase order,yes,yes,,yes,,,,yes,,,,,,
finance.invoices.view,Allows to view invoices,yes,yes,,yes,yes,yes,yes,yes,,,,yes,yes,yes
finance.invoices.manage,Allows to manage invoices,yes,yes,,yes,yes,yes,yes,yes,,,,,,
finance.invoices.manage_locked,Allows to modify locked invoices,yes,yes,,yes,,,,yes,,,,,,
finance.invoices.reports.view,Allows to view invoices payment report,yes,yes,,yes,yes,yes,yes,yes,,,,,,
finance.financial.reports.view,Allows to view financial volume report,yes,yes,,yes,yes,,yes,yes,,,,,,
usage_and_actuals.insurer_contracts.view,Can view insurer contracts,,yes,,,,,,,,,,,,
usage_and_actuals.insurer_contracts.manage,Can manage insurer contracts,,yes,,,,,,,,,,,,
management.materials.measure_units,Can manage measure units,,yes,,,,,,,,,,,,
management.materials,Can manage materials,,yes,,,,,,yes,,,,,,
labour.view,Can view labour types,,yes,,,,,,yes,,,,,,
management.jobs.labour,Can manage labour types,,yes,,,,,,yes,,,,,,
allowances.view,Can view allowance types,yes,yes,,,,,,yes,,,,,,
management.jobs.allowances,Can manage allowance types,yes,yes,,,,,,yes,,,,,,
laha.view,Can view laha compensations,yes,yes,,yes,yes,yes,yes,yes,,,,,yes,yes
management.jobs.laha,Can manage laha compensations,yes,yes,,yes,,,yes,yes,,,,,,
jobs.usage.laha.manage, Can manage job laha compensations,yes,yes,,yes,yes,,yes,yes,,,,,,yes
jobs.usage.laha.approve,Can approve laha compensations,yes,yes,,yes,,,,yes,,,,,,
